family	scientificName	associatedSequences	associatedSequenceIds	countryName	sex	comment
Pteropodidae	Eonycteris spelaea	mEonSpe1.2.hap1	hash://md5/18ac4c4c22eb9e3976b4cce2b3ac1094	To be added 	To be added	
Pteropodidae	Hypsignathus monstrosus	mHypMon1.1.pri	hash://md5/0a358c2611bac5b577d812c2621dc495	1) Republic of Congo 2) Central African Republic	To be added	Assembly on genomic data of two individuals
Pteropodidae	Rousettus aegyptiacus	mRouAeg1.4.pri	hash://md5/ccc2464eda2a55843b7ef5cf2cdb0be7		male	captive 
Craseonycteridae	Craseonycteris thonglongyai	mCraTho2.1.hap1	hash://md5/87408e92871e5088e41f3ef31e0d390a	Thailand	male	
Hipposideridae	Aselliscus stoliczkanus	mAseSto1.2.pri	hash://md5/b8db9a5136c8abb5d54f9ddf055ea7c2	China	female 	
Hipposideridae	Doryrhina cyclops	mDorCyc1.2.pri	hash://md5/b86aaff5d67994053e3995a1f242714d	Côte d'Ivoire	female 	
Hipposideridae	Hipposideros abae	mHipAba1.1.hap1	hash://md5/35c43362dffc4fa21ef14027e445b510	Ghana	female 	
Hipposideridae	Hipposideros armiger	mHipArm2.1.pri	hash://md5/1d1d99bb49e591a2c95a40421b297bb0	China	unknown	
Hipposideridae	Hipposideros caffer	mHipCaf2.1.hap1	hash://md5/762bb68d066d99e4438bc121277d211e	Ghana	female 	
Hipposideridae	Hipposideros jonesi	mHipJon1.1.hap1	hash://md5/e00ec81be9d54dc17ecf197853fad0fd	Ghana	female 	
Hipposideridae	Hipposideros larvatus	mHipLar1.2.pri	hash://md5/0533d656b2e016f982f7d55eab8ae74e	China	male	
Hipposideridae	Hipposideros swinhoii	mHipSwi1.1.pri	hash://md5/857d3cfa7f02d00136012694142c5aa0	China	unknown	
Megadermatidae	Megaderma spasma	mMegSpa1.1.pri	hash://md5/03c92edf21a636d953083a717317664d	Vietnam	male	
Rhinolophidae	Rhinolophus affinis	mRhiAff1.2.pri	hash://md5/95e97993d7777a3f1e1196a83d5201ef	China	male	
Rhinolophidae	Rhinolophus ferrumequinum	mRhiFer1.5.pri	hash://md5/c8dd4db7ae3bd194fee3cd88214cef45	England	female 	
Rhinolophidae	Rhinolophus foetidus	mRhiFoe1.2.pri	hash://md5/e92bd50d60c080434602213bea2e36d9	To be added 	To be added	
Rhinolophidae	Rhinolophus hipposideros	mRhiHip1.1.hap1	hash://md5/621aaccd06b52dd0845c8b4b6c685150	To be added 	To be added	
Rhinolophidae	Rhinolophus pearsonii	mRhiPea1.1.pri	hash://md5/77b75486bef874033dca104ca15a8142	China	unknown	
Rhinolophidae	Rhinolophus perniger lanosus	mRhiPer1.2.pri	hash://md5/b5bd1628d47843f9f0d8efc760d5f6b6	China	male	
Rhinolophidae	Rhinolophus sinicus	mRhiSin3.1.pri	hash://md5/95d418f8705755d871a810c62a8b43b6	China	unknown	
Rhinolophidae	Rhinolophus trifoliatus	mRhiTri1.2.pri	hash://md5/b52e907ad584956b69218ab58867d896	Malaysia	male	
Rhinolophidae	Rhinolophus yonghoiseni	mRhiYon1.2.pri	hash://md5/71673350ac1bae54abedaedcf7d7ffb4	Malaysia	female 	
Rhinonycteridae	Triaenops persicus	mTriPer1.1.hap1	hash://md5/98088b470c984d4b7b58e366ecc27ae6	Oman	female 	
Rhinopomatidae	Rhinopoma microphyllum	mRhiMic1.1.pri	hash://md5/d8cbdd91a15016becceb632aa35736b3	Israel	male	
Rhinopomatidae	Rhinopoma muscatellum	mRhiMus1.1.pri	hash://md5/e9b6174693ff26c2ae3f820148979936	Oman	male	
